section_id,cluster_km,cluster_hr,cluster_gm
way/121940859_1089,4,4,4
way/122779364_1092,5,0,5
way/124197681_1094,0,0,0
way/125099546_1097,5,0,5
way/125099549_1098,5,0,0
way/125219667_1102,1,1,1
way/125219673_1106,1,1,1
way/125219682_1112,3,3,3
way/125219693_1118,1,1,1
way/125219715_1121,1,1,1
way/125227114_1122,1,1,1
way/125227119_1124,1,1,1
way/125227122_1125,1,1,1
way/125227136_1129,5,0,5
way/125227143_1130,5,3,3
way/125227144_1131,3,3,3
way/125227147_1132,4,4,4
way/125227150_1133,3,3,3
way/125227153_1134,1,1,1
way/125227155_1135,3,3,3
way/125410967_1136,0,0,0
way/126548650_1137,2,2,2
way/126548651_1138,2,2,2
way/126548653_1139,2,2,2
way/126548655_1141,2,2,2
way/126548660_1142,2,2,2
way/126548664_1143,2,2,2
way/126548672_1144,2,2,2
way/126548681_1145,2,2,2
way/126548682_1146,2,2,2
way/126548683_1147,2,2,2
way/126548684_1148,3,3,3
way/126548686_1149,2,2,2
way/126548689_1150,2,2,2
way/126548691_1151,2,2,2
way/126548692_1152,2,3,2
way/126548693_1153,2,2,2
way/126548702_1154,3,3,3
way/126548703_1155,4,4,4
way/126548705_1157,2,2,2
way/126548706_1158,2,3,2
way/126548709_1159,3,3,3
way/126548714_1161,2,2,2
way/126550607_1162,4,4,4
way/126550608_1163,3,3,3
way/126550609_1164,3,3,3
way/126550612_1167,4,4,4
way/126550614_1168,4,4,4
way/126553704_1171,2,2,2
way/126553709_1172,2,2,2
way/126553714_1173,2,2,2
way/126553723_1174,2,2,2
way/126553727_1175,2,2,2
way/126553730_1176,2,2,2
way/126553746_1178,4,4,4
way/126553747_1179,4,4,4
way/126556929_1184,2,2,2
way/126556931_1185,2,2,2
way/126556934_1186,2,2,2
way/126556935_1187,2,2,2
way/126556938_1188,2,2,2
way/126556941_1189,2,2,2
way/126556948_1191,2,2,2
way/126556953_1192,2,2,2
way/126562960_1194,5,3,0
way/126562962_1195,3,3,3
way/126562966_1196,3,0,3
way/126562970_1197,3,3,3
way/126562971_1198,3,3,3
way/126562972_1199,4,3,4
way/126562973_1200,5,0,5
way/126562979_1202,2,2,2
way/126562980_1203,4,4,4
