name,region,country,country_code,population,surface,images,executed,processed,aggregated,density,folder,B_n_nodes,B_m_street,B_bicycle_det,B_car_det,B_bus_det,B_motorcycle_det,B_truck_det,B_parking meter_det,B_bench_det,B_residential_lu,B_grass_lu,B_forest_lu,B_cemetery_lu,ind,folder2,t_n_nodes,t_m_street,t_bicycle_det,t_car_det,t_bus_det,t_motorcycle_det,t_truck_det,t_parking meter_det,t_bench_det,t_residential_lu,t_grass_lu,t_forest_lu,t_cemetery_lu
Meerssen,Limburg,the Netherlands,NL,18556,26.96,47616,1,1,1,688.2789317507418,Meerssen_NL,0.008162987789992358,0.00013766779809973567,0.44188433364051893,0.009801351277280546,0.03681217613869901,1.68982419311128,-0.0027111597863375726,-0.9082255817153616,0.08133887849741822,7.164088121701491e-06,1.4515572814745496e-07,-1.0878535922437418e-06,9.082206478089884e-06,55.0,/Users/francisco/Developer/Cities/Meerssen_NL,3.3546173464678075,3.5255513051366423,9.479532962243352,5.3192031761094,0.4435005424935538,13.902973390415832,-0.09466458786786597,-2.0814516931250946,2.4659110647716442,5.5702980176208134,0.14988566976350293,-0.8570953132293552,0.5454507403842654
Meppel,Drenthe,the Netherlands,NL,34779,55.53,106223,1,1,1,626.3101026472177,Meppel_NL,0.0018128837295745626,8.496223826487016e-05,0.6487493670212885,0.007054833392424139,0.06953229411993739,0.733368060144801,0.008907242734978466,-1.1735980019850483,0.11308058131261031,5.079250823420012e-06,-3.518381203145798e-08,7.504763956970037e-07,-5.057448190635677e-06,56.0,/Users/francisco/Developer/Cities/Meppel_NL,1.9623557254578197,4.268905481534387,42.18570653517018,10.481792270276843,1.7562507926833946,13.90677705606037,0.7335853440945056,-5.360938769190376,9.826928954492917,7.795697628853509,-0.13753893145419135,0.52371651228266,-1.0141134641122014
Nijmegen,Gelderland,the Netherlands,NL,179073,53.09,251455,1,1,1,3373.0080994537575,Nijmegen_NL,0.01809578388568039,0.0002210092124684393,0.3290727080898041,0.0009589445507812416,0.25326260463647426,0.8131379505612679,0.10914482094662672,-0.04376322565245425,0.21274663987152148,6.865634341457955e-06,-1.9154984099107757e-06,-5.5253555334999985e-06,5.938015561075394e-06,57.0,/Users/francisco/Developer/Cities/Nijmegen_NL,8.646949456037623,4.634945452067457,29.16214246326219,0.9272169687314307,3.928197370500797,15.483866344292235,4.074031669777049,-0.10254512013536944,4.457728054820045,4.906659507289457,-0.895085949959428,-1.827212121403203,0.5237032116535569
Purmerend,Noord-Holland,the Netherlands,NL,92412,95.22,198704,1,1,1,970.5103969754254,Purmerend_NL,0.00334220812033314,0.00018140875526576595,0.5181792695827747,0.0036627868025538896,0.09326807196116617,0.8590146885431876,-0.017731833839008098,0.6937282537985162,0.06180828347701463,4.520921206260858e-06,1.6196214389809696e-07,-1.7404088384878124e-06,-8.95374236164332e-06,58.0,/Users/francisco/Developer/Cities/Purmerend_NL,3.263868521176203,9.195554584979003,58.184848722725924,7.323421193980822,2.8474564843864623,27.75237224918233,-1.386761539778142,8.340491265255059,4.905930790028742,6.686882255423303,0.5184370119587218,-1.5598246886051437,-0.7832603288727433
Rotterdam,Zuid-Holland,the Netherlands,NL,656050,217.55,1045026,1,1,1,3015.6285911284763,Rotterdam_NL,0.020564048955818752,0.00016241463653008102,0.2968608058942788,0.002115442063968089,0.5991196990659662,0.7493077613735657,0.012408935677813248,0.5690733217764987,0.43419285070192015,1.0758080664459298e-05,-2.131842453926981e-06,-6.248867543060687e-06,-7.212835626122449e-06,59.0,/Users/francisco/Developer/Cities/Rotterdam_NL,23.461775214968682,9.18400373314329,65.10028072419443,5.038403406956171,21.201227443970485,31.17497003920299,1.3939615296989687,2.599387380118574,24.816650448245092,15.010122501455925,-2.4528739215969098,-3.193302563686131,-1.8410570614760302
Schiedam,Zuid-Holland,the Netherlands,NL,79745,17.82,110222,1,1,1,4475.028058361391,Schiedam_NL,0.009646370325616382,0.0002647942000873245,0.3786273853003825,0.00142630517695031,0.19765580802611524,0.36720609506999025,-0.016578746939748333,-0.44632150552064587,0.1776784450569927,1.4075997642217105e-05,-4.774817314227154e-06,-1.5656758268728454e-05,-2.2359039155764406e-05,60.0,/Users/francisco/Developer/Cities/Schiedam_NL,3.5696943335925546,4.523008962026291,18.158042503851732,1.238333255571817,1.991779447983322,6.113182237934719,-0.5008529654261923,-0.9766407406908011,5.106477663940659,7.287069324057763,-2.2598987483876423,-2.307585975449435,-1.7267700412142686
Sittard-Geleen,Limburg,the Netherlands,NL,91760,79.01,177680,1,1,1,1161.3719782306036,Sittard-Geleen_NL,0.0031584782415564716,9.537144018913969e-05,0.8585825193530139,0.008302586964789334,0.03088962621321662,0.2504947224542937,0.02615931571151349,0.6121974233130169,0.14073942630090325,6.2588754792687746e-06,-1.1511559445865629e-07,-5.522004933079849e-07,2.1266067140696114e-06,61.0,/Users/francisco/Developer/Cities/Sittard-Geleen_NL,3.157837061172652,4.991319318098356,44.34753507217523,13.51334658109092,0.9098384789309383,5.516035330604812,2.3994804036530457,3.639854646859062,6.7399807461581895,10.744191144216447,-0.18082447453288814,-0.5613140680923493,0.4002350872078623
Tilburg,Noord-Brabant,the Netherlands,NL,224702,116.17,396408,1,1,1,1934.2515279332013,Tilburg_NL,0.00503193644264768,0.0001819668617591548,0.5499025446505031,-0.00043233882248255585,0.3125611331174294,0.26052882018322426,0.03591718727426063,-0.23694643690134443,0.19183633113643647,1.1069051072520094e-05,-2.351145376650334e-06,-1.4309077431181068e-06,-8.847862966068535e-06,62.0,/Users/francisco/Developer/Cities/Tilburg_NL,4.324405075075236,7.309577721442265,51.05999009952236,-0.6712386363702539,7.186807484406495,5.723952874142315,2.2748945828207043,-1.2315790759484062,10.50607412068946,13.167026098621712,-2.9371162681375145,-1.5861089728124593,-0.9524687982352009
Utrecht,Utrecht,the Netherlands,NL,361924,93.83,530951,1,1,1,3857.2311627411277,Utrecht_NL,0.0163057451370255,0.0002068698262595287,0.2901163156409325,-0.00714508156032129,0.8490486771365591,0.6588885198035079,0.12709023146416706,-0.21127122791005276,0.3060232505341103,1.383273974578357e-05,-2.2621508604274253e-06,-6.431968461434552e-06,-3.0715602841046505e-05,63.0,/Users/francisco/Developer/Cities/Utrecht_NL,10.395828811030306,5.523092074315196,38.069992899009556,-7.629215123770339,12.561320630868968,17.899099017418145,5.1080879059611615,-0.8366302425782709,8.948372574923235,9.829335771906411,-1.2130659587837873,-1.7559675126305183,-2.9473565196619416
Vlaardingen,Zuid-Holland,the Netherlands,NL,74118,23.57,86705,1,1,1,3144.5905812473484,Vlaardingen_NL,0.005319343927123995,0.00011325425736887874,0.37796183751827184,0.005115200941666704,0.0035535097650504915,0.44341632303481854,0.028644894658151513,1.5107010314048368,0.36697565058992226,9.396199346678179e-06,-5.052887628530663e-07,1.3672592249963135e-06,1.6360653588714775e-06,64.0,/Users/francisco/Developer/Cities/Vlaardingen_NL,2.5415128687882103,2.2759334055139546,19.771920773618948,4.420944092640917,0.04733515976483074,5.608601192265613,1.1293248226261585,2.5994686803427807,8.124943144239614,5.228890809350415,-0.3063557494003913,0.5639467575869495,0.12629317780854318
